Pole;Humus;K2O;A1
1;Pole1;1,48;19;34
2;Pole1;1,66;23;29
3;Pole1;1,72;11;34
4;Pole1;1,71;18;28
5;Pole1;1,37;18;26
6;Pole1;1,49;6;35
7;Pole1;1,35;11;31
8;Pole1;1,59;14;43
9;Pole1;1,54;20;38
10;Pole1;1,55;19;19
11;Pole1;1,38;13;34
12;Pole1;1,54;13;32
13;Pole1;1,41;11;32
14;Pole1;1,35;12;40
15;Pole1;1,42;19;33
16;Pole1;1,34;24;37
17;Pole1;1,36;24;24
18;Pole1;1,48;11;24
19;Pole1;1,49;8;40
20;Pole1;1,54;14;43
21;Pole1;1,4;18;25
22;Pole2;1,74;15;34
23;Pole2;1,78;51;34
24;Pole2;1,62;36;36
25;Pole2;1,67;35;33
26;Pole2;1,73;68;33
27;Pole2;1,86;50;36
28;Pole2;1,41;40;35
29;Pole2;1,99;47;31
30;Pole2;1,82;52;36
31;Pole2;1,84;36;38
32;Pole2;1,73;41;33
33;Pole2;1,75;47;35
34;Pole2;1,84;28;36
35;Pole2;2,07;40;31
36;Pole2;2,02;48;36
37;Pole2;1,88;55;33
38;Pole2;1,72;48;35
39;Pole2;1,69;56;34
40;Pole2;1,89;44;37
41;Pole2;1,53;39;34
42;Pole2;2,01;48;35
43;Pole3;2,18;54;30
44;Pole3;2,06;39;33
45;Pole3;2,15;68;25
46;Pole3;1,91;13;35
47;Pole3;2,02;19;34
48;Pole3;1,86;18;24
49;Pole3;2,23;36;32
50;Pole3;2,22;45;25
51;Pole3;2,14;25;23
52;Pole3;1,94;37;30
53;Pole3;2,11;40;31
54;Pole3;1,77;24;27
55;Pole3;1,94;48;32
56;Pole3;2,13;45;33
57;Pole3;1,8;35;27
58;Pole3;2,29;76;42
59;Pole3;2,21;55;26
60;Pole3;1,82;42;29
61;Pole3;1,95;15;24
62;Pole3;2,51;78;28
63;Pole3;2,03;51;25
